,Fecha,Estado,Enunciado
317,16-10-23,None,correos de chile - producto sin movimiento
318,16-10-23,None,correos de chile - internacion de paquete
319,15-10-23,None,correos de chile - no entregan el producto
320,14-10-23,no resuelto,correos de chile - retraso en aduana
321,13-10-23,None,correos de chile - aduana
322,13-10-23,no resuelto,correos de chile - retraso en internación y entrega
323,13-10-23,None,correos de chile - paquete aliexpress estancado
324,12-10-23,resuelto,correos de chile - mi pedido se encuentra en preparación desde el 25 de septiembre
325,12-10-23,resuelto,correos de chile - proceso de internación infinito
326,11-10-23,no resuelto,correos de chile - internacion excesiva no cumplen plazos
327,10-10-23,resuelto,correos de chile - no entrega en domicilio
328,10-10-23,resuelto,correos de chile - mucha demora en internacion
329,09-10-23,resuelto,correos de chile - pedido no entregado
330,07-10-23,None,correos de chile - mi pedido dice entregado pero no lo han entregado
331,06-10-23,None,correos de chile - pedido retenido
332,06-10-23,None,correos de chile - entregan mi pedido a otra persona
333,06-10-23,resuelto,"correos de chile - pedido retenido ""santiago ocpi cp, chile"""
334,05-10-23,no resuelto,correos de chile - en internacion por mas de 30 dias
335,05-10-23,resuelto,correos de chile - error 14. bloqueo de ingreso a página.
336,04-10-23,None,correos de chile - pedido en internación
337,04-10-23,no resuelto,correos de chile - demora en entrega de paquete
338,04-10-23,no resuelto,correos de chile - encomienda detenida en internación
339,03-10-23,None,correos de chile - rescon edi received paquete perdido
340,03-10-23,no resuelto,correos de chile - +35 dias internacion
341,03-10-23,no resuelto,correos de chile y aduana - tiempo de espera excesivo
342,02-10-23,no resuelto,correos de chile - paquete estancado en internacion otra vez
343,02-10-23,no resuelto,correos de chile - paquete aun en internacion
344,30-09-23,no resuelto,correos de chile - paquetes retenidos en internación desde el 10 de junio.
345,29-09-23,no resuelto,correos de chile - paquete retenido en internación desde el 14 de septiembre
346,29-09-23,None,correos de chile - arribado en linehual office hace 4 dias
347,28-09-23,no resuelto,correos de chile - pedido llego office linehaul chile hace mas de 10 dias
348,27-09-23,None,correos de chile - paquete no despachado
349,26-09-23,None,correos de chile - me llegó un paquete que nunca pedí
350,26-09-23,resuelto,correos de chile - encomienda sin avance
351,25-09-23,None,correos de chile - envío no entregado
352,25-09-23,resuelto,correos de chile - pedido estancado en internación por más de 1 mes
353,25-09-23,None,correos de chile - paque aun no llega
354,25-09-23,None,correos de chile - pedido no entregado y dice que fue recibido en chile
355,24-09-23,None,correos de chile - dice entregado pero no fue entregado
356,22-09-23,resuelto,correos de chile - encomienda retenida en internación casi 2 meses
357,22-09-23,None,correos de chile - ladrones
358,22-09-23,None,correos de chile - pedido estancado
359,21-09-23,resuelto,correos de chile - no sale de internacion desde 8 de agosto
360,21-09-23,resuelto,correos de chile - paquete en internación desde julio 2023
361,21-09-23,resuelto,correos de chile - pedido en internación
362,20-09-23,no resuelto,correos de chile - internacion muy demorosa
363,20-09-23,None,correos de chile - tiempo de internacion excesivo
364,20-09-23,resuelto,correos de chile - pedido en internación sin cambios
365,18-09-23,None,correos de chile - extravío de encomienda
366,16-09-23,no resuelto,correos de chile - demora excesiva en internacion del 29 de agosto
367,14-09-23,no resuelto,correos de chile - no entrega del pedido
368,14-09-23,no resuelto,correos de chile - mal servicio de cajera
369,14-09-23,None,correos de chile - envío inubicable
370,13-09-23,resuelto,correos de chile - paquete retenido en internación desde el 3 de agosto
371,13-09-23,None,correos de chile - pedido con paradero desconocido
372,12-09-23,no resuelto,correos de chile - extraviaron sobre con documentos bancarios
373,12-09-23,no resuelto,"correos de chile - mi paquete aparece como: ""santiago ocpi cp,cl"""
374,11-09-23,None,correos de chile - tiempo de entrega
375,10-09-23,no resuelto,correos de chile - mi pedido sale entregado pero nunca me llegó el pedido
376,09-09-23,no resuelto,correos de chile - demora de envío en internación
377,08-09-23,None,correos de chile - número de seguimiento no encontrado
378,08-09-23,no resuelto,correos de chile - tiempo en internación
379,08-09-23,no resuelto,correos de chile - cartero no entrega encomienda
380,07-09-23,resuelto,correos de chile - robo de pedido / negación de entrega
381,07-09-23,None,correos de chile - demora en entrega
382,06-09-23,no resuelto,correos de chile - envio entregado bajo la ley
383,06-09-23,no resuelto,correos de chile - en internación más de 1 mes
384,06-09-23,None,correos de chile - aduanas responsabiliza a correos chile
385,06-09-23,no resuelto,correos de chile - no entrega de paquetes
386,05-09-23,resuelto,correos de chile - retrasos en gestion de entrega
387,04-09-23,None,correos de chile - no entregan producto
388,04-09-23,None,correos de chile - paquete estancado en linehaul office
389,02-09-23,no resuelto,correos de chile - pedido robado
390,02-09-23,resuelto,correos de chile - paquete en internacion por ya 20 días
391,01-09-23,resuelto,correos de chile - internación eterna
392,31-08-23,no resuelto,correos de chile - cobros indebidos de la repartidora
393,31-08-23,None,correos de chile - error 14 bloqueo de acceso
394,30-08-23,no resuelto,correos de chile - internación
395,30-08-23,resuelto,correos de chile - demora en entrega
396,30-08-23,no resuelto,correos de chile - demora en proceso de entrega
397,29-08-23,None,correos de chile - pedido equivocado
398,29-08-23,no resuelto,correos de chile - incumplimiento de plazo de entrega
399,28-08-23,no resuelto,correos de chile - robo de productos y objetos en encomienda internacional
400,28-08-23,no resuelto,correos de chile - pedido en internación
401,28-08-23,no resuelto,correos de chile - pedido estancado
402,27-08-23,no resuelto,correos de chile - oferta con engaño
403,27-08-23,no resuelto,correos de chile - error 14 página bloqueada
404,27-08-23,no resuelto,correos de chile - tiempo de internación internacional
405,25-08-23,no resuelto,correos de chile - cartero desubicado
406,25-08-23,resuelto,correos de chile - excesivo tiempo en internacion
407,24-08-23,no resuelto,correos de chile - internacion demorada x2
408,23-08-23,no resuelto,correos de chile - paquete en internación por ya un mes
409,23-08-23,resuelto,correos de chile - paquete en en internación hace mas de 2 meses
410,23-08-23,no resuelto,correos de chile - demora excesiva y poco apoyo
411,23-08-23,None,correos de chile - demora en internacion
412,23-08-23,None,correos de chile - mala atencion en agencia de calle larga
413,22-08-23,None,"correos de chile - persona de la agencia anoto mal la direccion ,que estaba impresa en la caja"
414,22-08-23,resuelto,correos de chile - paquete no entregado
415,21-08-23,None,correos de chile - no llega mi producto hace mas de 2 meses y medio
416,21-08-23,resuelto,correos de chile - tardanza en envío
417,21-08-23,resuelto,correos de chile - retención de producto (line haul office)
418,21-08-23,None,correos de chile - atraso en internación sp008495481cl
419,21-08-23,None,correos de chile - un paquete en internacion y otro aún aparece como recibido en chile
420,21-08-23,resuelto,correos de chile - no entrega de paquete
421,21-08-23,None,correos de chile - entrega de mercadería en otra dirección que no correspondee
422,20-08-23,None,correos de chile - entrega de usps detenida en customs
423,20-08-23,None,correos de chile - me bloquearon
424,20-08-23,no resuelto,"correos de chile - paquete con más de 50 días en ""internación"""
425,20-08-23,None,correos de chile - demora en proceso de internación
426,20-08-23,resuelto,correos de chile - internación prolongada
427,18-08-23,resuelto,correos de chile - negligencia encomienda internacional
428,18-08-23,no resuelto,correos de chile - pedido devuelto al remitente
429,17-08-23,resuelto,correos de chile - mailamericas
430,17-08-23,resuelto,correos de chile - mal servicio no cumplen horario de trabajo
431,16-08-23,no resuelto,correos de chile - perdida de paquete
432,16-08-23,no resuelto,correos de chile - internacion demorada
433,15-08-23,no resuelto,correos de chile - pedido en internación
434,14-08-23,resuelto,correos de chile - envío
435,14-08-23,no resuelto,correos de chile - no llega mi pedido
436,14-08-23,None,correos de chile - proceso de internación sin respuesta
437,13-08-23,no resuelto,correos de chile - encomienda en internacion
438,12-08-23,resuelto,correos de chile - demora excesiva de encomienda internacional
439,11-08-23,no resuelto,correos de chile - robo de artículos
440,11-08-23,no resuelto,correos de chile - paquete en internacion hace 11 dias sin movimiento
441,11-08-23,no resuelto,correos de chile - robo de importación
442,10-08-23,None,correos de chile - correo no entregado
443,10-08-23,no resuelto,correos de chile - demora en liberación de encomienda
444,10-08-23,None,correos de chile - imposible trazabilidad de envios
445,09-08-23,None,correos de chile - demoras proceso internacion al pais
446,09-08-23,resuelto,correos de chile - tiempo abusivo en proceso de internación
447,09-08-23,None,correos de chile - paquete aun no llega
